iter	Accuracy	Logloss
22	0.8445378151	0.4764417447223	0.8445378151	0.4725489202224	0.8445378151	0.4699249175225	0.8445378151	0.4657468086226	0.8445378151	0.4619995262227	0.8445378151	0.4572854175228	0.8445378151	0.4530333626229	0.8466386555	0.4492850689330	0.8424369748	0.446710632331	0.8445378151	0.4413314766332	0.8424369748	0.4384525733	33	0.8445378151	0.435047634	034	0.8424369748	0.430457235	035	0.8424369748	0.427946636	036	0.8445378151	0.425811637	037	0.8445378151	0.424665938	038	0.8424369748	0.423967239	039	0.8424369748	0.422105240	040	0.8445378151	0.42081841	0.41	0.8445378151	0.4194642	0.842	0.8424369748	0.4183343	0.843	0.8424369748	0.415944	0.8544	0.8424369748	0.414245	0.8545	0.8487394958	0.41046	0.85646	0.8466386555	0.40847	0.85647	0.8466386555	0.40648	0.85048	0.8487394958	0.40449	0.8549	0.8487394958	0.40250	0.85450	0.8487394958	0.40151	0.8551	0.8508403361	0.399252	0.8552	0.8550420168	0.396953	0.8553	0.8550420168	0.395654	0.8554	0.8550420168	0.394055	0.8555	0.8571428571	0.39256	0.85656	0.8571428571	0.39057	0.85657	0.8571428571	0.39058	0.85458	0.8571428571	0.39059	0.85859	0.8550420168	0.3860	0.856560	0.8571428571	0.3861	0.856561	0.8550420168	0.3862	0.856562	0.8550420168	0.3863	0.858663	0.8529411765	0.364	0.8607564	0.8550420168	0.365	0.8607565	0.8550420168	0.366	0.8607566	0.8550420168	0.367	0.8607567	0.8550420168	0.368	0.864968	0.8550420168	0.69	0.86497869	0.8571428571	070	0.867088670	0.8571428571	071	0.867088671	0.8550420168	72	0.8691983172	0.8550420168	73	0.8691983173	0.8571428571	74	0.8691983174	0.8550420168	75	0.8670886075	0.8550420168	76	0.8670886076	0.8571428571	77	0.8670886077	0.8571428571	78	0.8670886078	0.8571428571	79	0.8670886079	0.8571428571	80	0.8691983180	0.8571428571	81	0.8691983181	0.8571428571	82	0.8691983182	0.8571428571	83	0.8670886083	0.8613445378	84	0.8649789084	0.861344537885	0.86708860785	0.861344537886	0.86919831286	0.863445378287	0.86919831287	0.863445378288	0.86919831288	0.865546218589	0.87341772189	0.865546218590	0.87130801690	0.863445378291	0.87130801691	0.863445378292	0.87341772192	0.863445378293	0.87763713093	0.863445378994	0.87552742694	0.867647058995	0.87763713095	0.867647058996	0.87763713096	0.867647058997	0.8755274297	0.8676470589898	0.8755274298	0.8676470589999	0.8755274299	0.86764705810100	0.8755274100	0.86764705810101	0.8755274101	0.86764705810102	0.8755274102	0.86764705810103	0.8755274103	0.86764705104104	0.8755274104	0.869747105	0105	0.8776371105	0.86974106	0.106	0.8776371106	0.86974107	0.107	0.8797468107	0.8697108	0.8108	0.8797468108	0.86109	0.864109	0.8797468109	0.8110	0.8691110	0.8818565110	0.8111	0.8670111	0.8818565111	0.8112	0.8670112	0.8818565112	0.8113	0.8691113	0.8818565113	0.8114	0.8691114	0.881856114	0.86115	0.8713115	0.881856115	0.86116	0.8713116	0.883966116	0.86117	0.8734117	0.883966117	0.86118	0.8713118	0.883966118	0.86119	0.8755119	0.883966119	0.86120	0.8755120	0.88396120	0.869121	0.8713121	0.88607121	0.869122	0.8734122	0.88607122	0.869123	0.8734123	0.88607123	0.869124	0.8734124	0.8860124	0.8697125	0.8713125	0.8860125	0.8718126	0.8755126	0.8860126	0.8718127	0.8755127	0.8860127	0.8718128	0.8755128	0.8902128	0.8718129	0.875129	0.89029129	0.8718130	0.875130	0.88818130	0.8718131	0.87131	0.888185131	0.8739132	0.8132	0.8881856132	0.8739133	0133	0.888185654133	0.8739134	134	0.888185654	134	0.8739135135	0.888185654	0135	0.873913136	0.888185654	0.136	0.87313137	0.888185654	0.3137	0.8731138	0.8902953586	0.3138	0.8731139	0.8902953586	0.3139	0.8731140	0.8902953586	0.3140	0.8731141	0.8902953586	0.3141	0.8731142	0.8902953586	0.3142	0.8731143	0.8924050633	0.3143	0.8731144	0.8924050633	0.144	0.87391145	0.8924050633	0.145	0.87391146	0.8945147679	0.146	0.87391147	0.8945147679	0147	0.873941148	0.8945147679	148	0.873949149	0.8945147679	0149	0.873949150	0.8945147679	0150	0.873949151	0.8945147679151	0.87394957152	0.8945147679152	0.87394957153	0.8945147679153	0.876050154	0.8945147679	0154	0.876050155	0.8945147679	0155	0.873949156	0.8945147679	0156	0.878151157	0.8945147679	157	0.8781512158	0.8945147679	158	0.8781512159	0.8945147679	159	0.8781512160	0.8945147679	160	0.8781512161	0.8966244726	161	0.8781512162	0.8966244726	162	0.8760501163	0.8966244726	163	0.876050164	0.8966244726	164	0.8760504165	0.8966244726165	0.87605042166	0.8966244726166	0.87815126167	0.8966244726167	0.87815126168	0.8966244726168	0.87815126169	0.8945147679169	0.87815126170	0.8945147679170	0.8781512171	0.8945147679	171	0.8781512172	0.8945147679	172	0.8781512173	0.8945147679	173	0.8781512174	0.8945147679	174	0.8781512175	0.8945147679	175	0.8781512176	0.8945147679176	0.8781512177	0.8966244726	177	0.8781511178	0.8966244726	178	0.8781517179	0.8966244726179	0.87815180180	0.8966244726180	0.8781181	181	0.8987341772181	0.8781182	182	0.8987341772182	0.8183	0.8183	0.8987341772183	0.184	0.88184	0.8987341772184	0185	0.890185	0.8987341772185	0186	0.890186	0.8987341772186	0187	0.892187	0.9008438819187	0188	0.892188	0.9008438819188	0189	0.892189	0.9008438819189	0190	0.892190	0.9008438819190	0191	0.894191	0.9008438819191	0192	0.896192	0.9008438819192	0193	0.894193	0.9008438819193	0194	0.894194	0.9008438819194	0195	0.894195	0.9008438819195	0196	0.894196	0.9008438819196	0197	0.896197	0.9008438819197	0198	0.896198	0.9008438819198	0199	0.896199	0.9008438819199	0200	0.896200	0.9008438819200	0201	0.898201	0.9008438819201	0202	0.900202	0.9008438819202	0203	0.900203	0.9008438819203	0204	0.900204	0.9008438819204	0205	0.900205	0.9008438819205	0206	0.902206	0.9008438819206	0207	0.902207	0.9008438819207	0208	0.902208	0.9008438819208	0209	0.902209	0.9008438819209	0210	0.902210	0.9008438819210	0211	0.902211	0.900843881211	0.212	0.905212	0.898734177212	0213	0.9071213	0.900843881213	0214	0.9071214	0.90084388214	0215	0.90717215	0.90084388215	0216	0.90717216	0.89873417216	217	0.907172217	0.89873417217	218	0.907172218	0.89873417218	219	0.907172219	0.89873417219	220	0.907172220	0.89873417220	221	0.907172221	0.90084388221	222	0.907172222	0.90084388222	223	0.907172223	0.90084388223	224	0.907172224	0.90084388224	225	0.907172225	0.90084388225	226	0.907172226	0.90084388226	227	0.907172227	0.9008438227	0228	0.90717228	0.90084388228	229	0.907172229	0.90295358229	230	0.907172230	0.90084388230	231	0.907172231	0.90084388231	232	0.907172232	0.90084388232	233	0.907172233	0.9029535233	0234	0.909282234	0.9029535234	0235	0.909282235	0.9029535235	0236	0.909282236	0.9029535236	0237	0.909282237	0.9050632237	238	0.9092827238	0.9050632238	239	0.909282239	0.90506329239	240	0.909282240	0.90506329240	241	0.909282241	0.90506329241	242	0.909282242	0.90506329242	243	0.909282243	0.90295358243	244	0.909282244	0.90506329244	245	0.911392245	0.90295358245	246	0.911392246	0.90295358246	247	0.91139247	0.905063291247	248	0.91139248	0.902953586248	249	0.90928249	0.902953586249	250	0.90928250	0.905063291250	251	0.90928251	0.905063291251	252	0.9113252	0.907172995252	0253	0.911253	0.9071729958253	0254	0.911254	0.9071729958254	0255	0.911255	0.9092827004255	0256	0.913256	0.9092827004256	0257	0.913257	0.9113924051257	258	0.9135258	0.9113924051258	259	0.9113259	0.9135021097259	260	0.9113260	0.9135021097260	261	0.9113261	0.9135021097261262	0.91139262	0.913502109262	263	0.91139263	0.91350210263	0264	0.91139264	0.91350210264	0265	0.91139265	0.91350210265	0266	0.9135266	0.91350210266	0.267	0.9135267	0.91350210267	0.268	0.9135268	0.91350210268	0.269	0.9135269	0.91350210269	0.270	0.9135270	0.91350210270	0.271	0.9156271	0.91561181271	0.272	0.9177272	0.91561181272	0273	0.91772273	0.9135021273	0274	0.917721274	0.9135021274	275	0.9177215275	0.9156118275276	0.91350210276	0.9156118276277	0.91561181277	0.9135021277278	0.91561181278	0.9135021278279	0.91561181279	0.9135021279280	0.91561181280	0.9135021280281	0.91561181281	0.9135021281282	0.91561181282	0.9135021282283	0.91561181283	0.9135021283284	0.91561181284	0.9135021284285	0.9156118285	0.91350210285286	0.915611286	0.913502109286287	0.915611287	0.913502109287288	0.917721288	0.91350210928289	0.9177215289	0.9135021092290	0.91772151290	0.913502109291	0.917721519291	0.91350210292	0.917721519	292	0.9135021293	0.917721519	0293	0.913502294	0.917721519	0.294	0.91350295	0.9198312236	0.295	0.91350296	0.9198312236	0.296	0.9135297	0.9198312236	0.2297	0.9135298	0.9198312236	0.2298	0.9135299	0.9198312236	0.2299	0.9135300	0.9219409283	0.2300	0.9135301	0.9219409283	0.2301	0.9135302	0.9219409283	0.2302	0.9135303	0.9219409283	0.2303	0.9135304	0.9219409283	0.2304	0.9135305	0.9219409283	0.2305	0.9135306	0.9240506329	0.2306	0.915307	0.9240506329	0.25307	0.915308	0.9240506329	0.25308	0.915309	0.9240506329	0.2309	0.915310	0.9240506329	0.25310	0.915311	0.9240506329	0.25311	0.915312	0.9240506329	0.25312	0.915313	0.9240506329	0.25313	0.91314	0.9240506329	0.255314	0.91315	0.9240506329	0.25315	0.915316	0.9240506329	0.25316	0.91317	0.9240506329	0.255317	0.91318	0.9240506329	0.254318	0.91319	0.9240506329	0.254319	0.91320	0.9240506329	0.2320	0.9177321	0.9240506329	0.321	0.91772322	0.9240506329	322	0.9177215323	0.92405063323	0.917721519	324	0.9240506324	0.917721519	0325	0.924050325	0.917721519	0.326	0.92405326	0.917721519	0.2327	0.924327	0.917721519	0.260328	0.92328	0.917721519	0.2329	0.9282329	0.917721519	0.25330	0.928330	0.917721519	0.259331	0.92331	0.917721519	0.259332	0.93332	0.917721519	0.2591333	0.9333	0.917721519	0.25861334	0.334	0.917721519	0.258298335	0335	0.917721519	0.2575713336	336	0.917721519	0.25704439337337	0.917721519	0.25669364033338	0.917721519	0.25596416633339	0.917721519	0.2559018138
340	0.917721519	0.2558515526
341	0.917721519	0.2557936641
342	0.917721519	0.2552101263
343	0.917721519	0.2546409267
344	0.917721519	0.2542215068
345	0.917721519	0.2540452493
346	0.917721519	0.2539154159
347	0.917721519	0.2536265884
348	0.917721519	0.2531083047
349	0.917721519	0.2530414026
350	0.9198312236	0.2525148544
351	0.9198312236	0.2523754169
352	0.9198312236	0.2521569233
353	0.9198312236	0.2519949543
354	0.9198312236	0.2519424227
355	0.9198312236	0.2509273409
356	0.9198312236	0.250805905
357	0.9198312236	0.250669761
358	0.9198312236	0.24986421
359	0.9198312236	0.2492520656
360	0.9198312236	0.2491832582
361	0.9198312236	0.2491409132
362	0.9198312236	0.2487752724
363	0.9198312236	0.2484623274
364	0.9198312236	0.248322005
365	0.9198312236	0.2479841513
366	0.9198312236	0.2477474704
367	0.9219409283	0.2474632615
368	0.9219409283	0.24680592193369	0.9219409283	0.24632150370370	0.9219409283	0.246274371	0371	0.9219409283	0.245365372	0372	0.9219409283	0.245323373	0373	0.9219409283	0.244421374	0374	0.9219409283	0.2441375	0.9375	0.9219409283	0.24376	0.940376	0.9219409283	0.377	0.94092377	0.9219409283	378	0.9409282378	0.924050632379	0.94092827	379	0.9240506380	0.94092827	0.380	0.92405381	0.94092827	0.23381	0.924382	0.94092827	0.230382	0.92383	0.9430379747	0.230383	0.92384	0.9430379747	0.229384	0.92385	0.9430379747	0.228385	0.92386	0.9451476793	0.228386	0.92387	0.947257384	0.2279387	0.9388	0.947257384	0.22734388	0.389	0.9493670886	0.22709389	0.390	0.9493670886	0.22700390	0.391	0.9493670886	0.22688391	0.392	0.9493670886	0.22675392	0.393	0.9493670886	0.22668393	0.394	0.9493670886	0.22654394	0.395	0.9493670886	0.22621395	0.396	0.9493670886	0.22616396	0.397	0.9493670886	0.22580397	0.398	0.9493670886	0.22572398	0.399	0.9493670886	0.22561399	0.400	0.9493670886	0.2252400	0.9401	0.9493670886	0.2250401	0.9402	0.9493670886	0.2248402	0.9403	0.9493670886	0.2246403	0.9404	0.9493670886	0.2242404	0.9405	0.9493670886	0.2240405	0.9406	0.9493670886	0.2237406	0.9407	0.9514767932	0.223407	0.92408	0.9514767932	0.223408	0.92409	0.9514767932	0.223409	0.92410	0.9514767932	0.222410	0.92411	0.9514767932	0.222411	0.93412	0.9514767932	0.221412	0.92413	0.9514767932	0.22413	0.92414	0.9514767932	0.221414	0.92415	0.9514767932	0.221415	0.92416	0.9514767932	0.220416	0.92417	0.9514767932	0.219417	0.93418	0.9535864979	0.219418	0.92419	0.9535864979	0.219419	0.92420	0.9535864979	0.218420	0.92421	0.9535864979	0.218421	0.92422	0.9535864979	0.217422	0.9423	0.9535864979	0.2169423	0.9424	0.9535864979	0.216424	0.92425	0.9535864979	0.215425	0.92426	0.9535864979	0.215426	0.92427	0.9535864979	0.215427	0.92428	0.9535864979	0.215428	0.92429	0.9535864979	0.21429	0.928430	0.9535864979	0.21430	0.92431	0.9535864979	0.214431	0.93432	0.9535864979	0.214432	0.93433	0.9556962025	0.214433	0.93434	0.9556962025	0.213434	0.93435	0.9556962025	0.213435	0.93436	0.9556962025	0.213436	0.93437	0.9556962025	0.212437	0.9438	0.9556962025	0.2122438	0.9439	0.9556962025	0.2121439	0.9440	0.9556962025	0.2118440	0.9441	0.9556962025	0.2116441	0.9442	0.9556962025	0.2114442	0.9443	0.9556962025	0.2112443	0.9444	0.9556962025	0.2109444	0.9445	0.9556962025	0.2106445	0.9446	0.9578059072	0.2101446	0.9447	0.9578059072	0.2098447	0.9448	0.9556962025	0.2092448	0.9449	0.9578059072	0.2089449	0.9450	0.9578059072	0.2088450	0.9451	0.9578059072	0.2083451	0.9452	0.9578059072	0.2081452	0.9453	0.9578059072	0.2079453	0.9454	0.9578059072	0.207454	0.9455	0.9578059072	0.2077455	0.9456	0.9578059072	0.2074456	0.9457	0.9578059072	0.2069457	0.9458	0.9578059072	0.20458	0.938459	0.9578059072	0.20459	0.938460	0.9578059072	0.20460	0.938461	0.9578059072	0.20461	0.938462	0.9578059072	0.20462	0.938463	0.9578059072	0.20463	0.938464	0.9578059072	0.20464	0.938465	0.9578059072	0.20465	0.938466	0.9578059072	0.20466	0.938467	0.9578059072	0.2467	0.9388468	0.9578059072	0.2468	0.9388469	0.9578059072	0.2469	0.9388470	0.9578059072	0.2470	0.9388471	0.9578059072	0.2471	0.9388472	0.9578059072	0.2472	0.9388473	0.9578059072	0.2473	0.9388474	0.9578059072	0.2474	0.9388475	0.9578059072	0.2475	0.9388476	0.9578059072	0.2476	0.9388477	0.9578059072	0.2477	0.9388478	0.9578059072	0.2478	0.9388479	0.9578059072	0.2479	0.9388480	0.9578059072	0.2480	0.9388481	0.9578059072	0.2481	0.9388482	0.9578059072	0.2482	0.9388483	0.9578059072	0.2483	0.9388484	0.9578059072	0.2484	0.9388485	0.9578059072	0.1485	0.9388486	0.9578059072	0.1486	0.9388487	0.9578059072	0.1487	0.938488	0.9578059072	0.19488	0.938489	0.9578059072	0.19489	0.938490	0.9578059072	0.19490	0.938491	0.9578059072	0.19491	0.938492	0.9578059072	0.19492	0.938493	0.9578059072	0.1493	0.9388494	0.9578059072	0.1494	0.9388495	0.9578059072	0.1495	0.9367496	0.9578059072	0.1496	0.9367497	0.9578059072	0.1497	0.9367498	0.9578059072	0.498	0.93670499	0.9578059072	0.499	0.93670500	0.9578059072	0.500	0.93670501	0.9578059072	0501	0.936708502	0.9578059072	0502	0.936708503	0.9578059072	503	0.9367088504	0.9578059072	504	0.9367088505	0.9578059072	505	0.9367088506	0.9578059072	506	0.9367088507	0.9578059072	507	0.9367088508	0.9578059072508	0.93670886509	0.9578059072509	0.93670886510	0.9578059072510	0.93670886511	0.9578059072511	0.93670886512	0.957805907512	0.936708860513	0.957805907513	0.936708860514	0.957805907514	0.936708860515	0.95780590515	0.94092827	0516	0.957805516	0.94092827	0.2517	0.9578517	0.94092827	0.203518	0.95518	0.94092827	0.20330519	0.519	0.94092827	0.2031111520	520	0.9430379747	0.2026699521	521	0.9430379747	0.2021176522	522	0.9430379747	0.2013700523	523	0.9430379747	0.2011209524524	0.9451476793	0.20059849525525	0.9451476793	0.20042494526526	0.9451476793	0.20025383527527	0.9451476793	0.20011858528528	0.9451476793	0.19992480529529	0.9451476793	0.19930569530530	0.9451476793	0.19901226531531	0.9451476793	0.19894052532532	0.9451476793	0.19887327533533	0.9451476793	0.19875198534534	0.9451476793	0.19849986535535	0.9451476793	0.1979331536	536	0.9451476793	0.197899537	0537	0.9451476793	0.197484538	0538	0.9451476793	0.197414539	0539	0.9451476793	0.196935540	0540	0.9451476793	0.196639541	0541	0.9451476793	0.196367542	0542	0.9451476793	0.196244543	0543	0.9451476793	0.196019544	0544	0.9451476793	0.195998545	0545	0.9451476793	0.195883546	0546	0.9451476793	0.195817547	0547	0.9451476793	0.19555548	0.548	0.9451476793	0.19538549	0.549	0.9451476793	0.19524550	0.550	0.9451476793	0.19478551	0.551	0.947257384	0.194591552	0552	0.947257384	0.1945084553	553	0.947257384	0.19439884554554	0.947257384	0.1943177485555	0.947257384	0.1941374739
556	0.947257384	0.1939068656
557	0.947257384	0.1931761079
558	0.947257384	0.1929871695
559	0.947257384	0.1927754735
560	0.947257384	0.1925481685
561	0.947257384	0.1922189338
562	0.947257384	0.1916817573
563	0.947257384	0.191052047
564	0.947257384	0.1907399547
565	0.947257384	0.1907066377
566	0.947257384	0.1905664981
567	0.947257384	0.190405777
568	0.947257384	0.1901699597
569	0.947257384	0.1901086518
570	0.947257384	0.1899893671
571	0.947257384	0.1897599723
572	0.947257384	0.189308109
573	0.9493670886	0.1886070315
574	0.9493670886	0.1885062768
575	0.9493670886	0.1882702805
576	0.9493670886	0.1877391916
577	0.9493670886	0.1877062224
578	0.9493670886	0.1875854662
579	0.9493670886	0.1875760115
580	0.9493670886	0.1873633137
581	0.9493670886	0.1870582838
582	0.9493670886	0.1866547777
583	0.9493670886	0.1865896709
584	0.9493670886	0.1860918391
585	0.9493670886	0.1857831653
586	0.9493670886	0.1857565375
587	0.9493670886	0.1856933486
588	0.9493670886	0.1853569161
589	0.9493670886	0.1851226614
590	0.9493670886	0.1849120835
591	0.9493670886	0.1848694938
592	0.9493670886	0.1847938961
593	0.9493670886	0.1844593412
594	0.9493670886	0.1839234699
595	0.9493670886	0.1837959681
596	0.9493670886	0.1835132158
597	0.9493670886	0.1830036536
598	0.9493670886	0.1826617987
599	0.9493670886	0.1822151384
600	0.9493670886	0.1821522512
601	0.9493670886	0.1820551946
602	0.9493670886	0.1818656603
603	0.9493670886	0.1818294397
604	0.9493670886	0.181700622
605	0.9493670886	0.1811134031
606	0.9493670886	0.1810774006
607	0.9493670886	0.1809471736
608	0.9514767932	0.1807511227
609	0.9514767932	0.1807289315
610	0.9514767932	0.1805864069
611	0.9514767932	0.180524841
612	0.9514767932	0.1804997598
613	0.9514767932	0.1804444634
614	0.9514767932	0.1800112023
615	0.9514767932	0.1799297262
616	0.9514767932	0.1795635385
617	0.9514767932	0.1795311229
618	0.9514767932	0.1792645794
619	0.9514767932	0.1791821377
620	0.9514767932	0.1788696408
621	0.9514767932	0.1787876654
622	0.9514767932	0.1786588868
623	0.9514767932	0.1786293704
624	0.9514767932	0.1785925111
625	0.9514767932	0.178515327
626	0.9514767932	0.1784974191
627	0.9535864979	0.1779664284
628	0.9535864979	0.1777376576
629	0.9535864979	0.1776311834
630	0.9535864979	0.1773236062
631	0.9535864979	0.1770054641
632	0.9535864979	0.1766237952
633	0.9535864979	0.1763756522
634	0.9535864979	0.1760182996
635	0.9556962025	0.1754583954
636	0.9556962025	0.1751333606
637	0.9556962025	0.1751165627
638	0.9556962025	0.1749932091
639	0.9556962025	0.1746536434
640	0.9556962025	0.1745967507
641	0.9556962025	0.1743923717
642	0.9556962025	0.1741563889
643	0.9556962025	0.17411062
644	0.9535864979	0.1734182009
645	0.9535864979	0.1731530351
646	0.9535864979	0.1730540427
647	0.9535864979	0.1728899503
648	0.9535864979	0.1727629559
649	0.9535864979	0.1724631602
650	0.9556962025	0.1719554839
651	0.9556962025	0.171755555
652	0.9556962025	0.1711968866
653	0.9556962025	0.1709348335
654	0.9556962025	0.1708377221
655	0.9556962025	0.170544958
656	0.9556962025	0.1700950134
657	0.9556962025	0.1698357966
658	0.9556962025	0.1698010531
659	0.9556962025	0.1697498319
660	0.9556962025	0.1696999509
661	0.9556962025	0.1694424259
